有っ,有る
欠い,欠く
貸し出し,貸し出す
解っ,解る
立ち寄っ,立ち寄る
盗ん,盗む
脱い,脱ぐ
終っ,終う
探っ,探る
脅し,脅す
踏み込ん,踏み込む
造っ,造る
立ち止まっ,立ち止まる
入り込ん,入り込む
譲っ,譲る
建っ,建つ
腐っ,腐る
取り消し,取り消す
吐い,吐く
強まっ,強まる
遭っ,遭う
役に立っ,役に立つ
喋っ,喋る
下っ,下る
転がっ,転がる
綴っ,綴る
好ん,好む
承っ,承る
説い,説く
察し,察す
助かっ,助かる
盛り込ん,盛り込む
集い,集く
光っ,光る
救っ,救う
就い,就く
掴ん,掴む
傷つい,傷つく
解い,解く
埋まっ,埋まる
乗り出し,乗り出す
兆し,兆す
取り扱っ,取り扱う
産ん,産む
治っ,治る
傾い,傾く
取り込ん,取り込む
付し,付す
採っ,採る
動き出し,動き出す
捜し,捜す
雇っ,雇う
磨い,磨く
巻き込ん,巻き込む
捕まっ,捕まる
役立っ,役立つ
延ばし,延ばす
見合っ,見合う
成っ,成る
呈し,呈す
物語っ,物語る
仕上がっ,仕上がる
蒸し,蒸す
差し出し,差し出す
備わっ,備わる
引き継い,引き継ぐ
冷やし,冷やす
闘っ,闘う
出回っ,出回る
創っ,創る
逃げ出し,逃げ出す
切り離し,切り離す
預かっ,預かる
敷い,敷く
歪ん,歪む
覆っ,覆う
亡くし,亡くす
引っかかっ,引っかかる
言い回し,言い回す
拭い,拭く
現し,現す
訊い,訊く
治し,治す
怠っ,怠る
騙し,騙す
閉まっ,閉まる
送り出し,送り出す
膨らん,膨らむ
嘆い,嘆く
担い,担ぐ
変っ,変る
滑っ,滑る
誓っ,誓う
思い立っ,思い立つ
囲ん,囲む
散っ,散る
手放し,手放す
微笑ん,微笑む
留まっ,留まる
手渡し,手渡す
燃やし,燃やす
離し,離す
掘っ,掘る
転ん,転ぶ
折り返し,折り返す
見込ん,見込む
刻ん,刻む
収まっ,収まる
向っ,向う
利い,利く
抜け出し,抜け出す
向き合っ,向き合う
嫌っ,嫌う
託し,託す
謝っ,謝る
争っ,争う
出向い,出向く
持ち帰っ,持ち帰る
蹴っ,蹴る
受け継い,受け継ぐ
撃っ,撃つ
誇っ,誇る
名乗っ,名乗る
走り回っ,走り回る
徹し,徹す
貫い,貫く
目覚まし,目覚ます
潜ん,潜む
浮かび上がっ,浮かび上がる
見送っ,見送る
下回っ,下回る
取り返し,取り返す
挑ん,挑む
積もっ,積もる
見落とし,見落とす
繋い,繋ぐ
辿っ,辿る
踏み出し,踏み出す
練っ,練る
弱っ,弱る
過ぎ去っ,過ぎ去る
沸い,沸く
澄ん,澄む
覚まし,覚ます
引き渡し,引き渡す
課し,課す
突い,突く
期し,期す
漏らし,漏らす
劣っ,劣る
裏返し,裏返す
培っ,培う
見渡し,見渡す
混ざっ,混ざる
染まっ,染まる
引きずっ,引きずる
励ん,励む
組み込ん,組み込む
儲かっ,儲かる
悟っ,悟る
浸っ,浸る
打ち込ん,打ち込む
殴っ,殴る
散らし,散らす
制し,制す
引き続い,引き続く
呑ん,呑む
呟い,呟く
起っ,起つ
贈っ,贈る
横たわっ,横たわる
直っ,直る
博し,博す
当っ,当る
映し,映す
成し,成す
割り切っ,割り切る
裏切っ,裏切る
割い,割く
荒らし,荒らす
装っ,装う
戸惑っ,戸惑う
取り直し,取り直す
曇っ,曇る
際立っ,際立つ
張り切っ,張り切る
晒し,晒す
略し,略す
似合っ,似合う
激し,激す
降ろし,降ろす
通り越し,通り越す
売り出し,売り出す
