タイニチ	対日
アガリ	上がり
ノボリ	上り
イチブ	一部
ダイブブン	大部分
ニクタイ	肉体
ブチョウ	部長
ブブン	部分
ホンブ	本部
ロコツ	露骨
ヒガシ	東
トウブ	東部
ノウニュウ	納入
ノリカエル	乗り換える
コウシャ	後者
キマグレ	気まぐれ
セイトウ	政党
タンキダイガク	短期大学
トウ	党
カイサンブツ	海産物
ケイソツ	軽率
ダイチ	大地
ツチ	地
チジョウ	地上
モチモノ	持ち物
カイゴウ	会合
マニアウ	間に合う
アウ	合う
アイマ	合間
ゴウドウ	合同
レンゴウ	連合
オウズル	応ずる
マニアワセル	間に合わせる
キリツ	規律
シチョウ	市長
シミン	市民
アバレル	暴れる
アクム	悪夢
ギョウシャ	業者
ジギョウ	事業
ミノル	実る
ヒキツギ	引き継ぎ
コクナイ	国内
シナイ	市内
ウチ	内
ナイブ	内部
エノグ	絵の具
ゲンジュウショ	現住所
ソウカン	相関
イッポウ	一方
ミカタ	見方
コウホウ	後方
ユクエ	行方
チホウ	地方
カタガタ	方々
ミセビラカス	見せびらかす
ミセル	見せる
ヨッツ	四つ
ヨン	四
イッテイ	一定
ミカヅキ	三日月
テイネン	定年
ドウジル	動じる
イマ	今
コンゲツ	今月
コンゴ	今後
ムチ	無知
ムホウ	無法
コンニチ	今日
コトシ	今年
イママデ	今まで
カイ	回
コンカイ	今回
サライネン	再来年
テジナ	手品
ゼンカイ	前回
アタラシイ	新しい
アラタ	新た
シンジン	新人
シンネン	新年
ホウイ	方位
メウエ	目上
カイジョウ	会場
アラワス	表す
イチバ	市場
シュツジョウ	出場
バアイ	場合
セイツウ	精通
ソウバ	相場
ロンズル	論ずる
ジョウチョ	情緒
ジョウショ	情緒
オカネ	お金
アクシュ	握手
イタイ	痛い
イチイン	一員
カイイン	会員
ギイン	議員
シャイン	社員
ナマヌルイ	生ぬるい
テイイン	定員
フレアイ	触れ合い
サンリュウ	三流
キュウ	九
ニホンシュ	日本酒
ニュウコク	入国
ニュウシャ	入社
ニュウジョウ	入場
ブツゾウ	仏像
センシュツ	選出
センテイ	選定
ニュウセン	入選
ユウスル	有する
エラブ	選ぶ
コクリツ	国立
シリツ	市立
タイリツ	対立
チュウリツ	中立
タチバ	立場
カンズル	感ずる
カイカイ	開会
カイハツ	開発
トクバイ	特売
ムクチ	無口
キョクセン	曲線
ミアゲル	見上げる
テマ	手間
テマエ	手前
センシュ	選手
アイテ	相手
オオテ	大手
トオリスギル	通り過ぎる
ドウドウ	堂々
ニチベイ	日米
グン	群
ムレ	群れ
シュツリョク	出力
バツグン	抜群
ヒョウリ	表裏
ウラガエシ	裏返し
コクリョク	国力
ガッカイ	学会
ガクシャ	学者
ガクセイ	学生
ガクチョウ	学長
ガクネン	学年
ガクブ	学部
ケンガク	見学
コドモ	子供
ダイガク	大学
チュウガク	中学
チュウガクセイ	中学生
ニュウガク	入学
ガクモン	学問
ウチアゲル	打ち上げる
トイ	問い
トウ	問う
タカイ	高い
タカサ	高さ
タカマル	高まる
タカメル	高める
ジダイ	時代
ダイキン	代金
ダイコウ	代行
ネンダイ	年代
カワリ	代わり
ソウゲン	草原
アキラカ	明らか
アカルイ	明るい
ミョウニチ	明日
アシタ	明日
アス	明日
オクユキ	奥行き
ジジツ	事実
ジツハ	実は
ジッコウ	実行
ジツリョク	実力
マコトニ	実に
ジツニ	実に
デンアツ	電圧
イチエン	一円
エン	円
エンダカ	円高
ハジマル	始まる
チュウサイ	仲裁
ヤク	約
カンレン	関連
カコイ	囲い
ギケツ	議決
ケッシテ	決して
ケツギ	決議
ケッテイ	決定
タイケツ	対決
ブンシ	分子
コウドウ	行動
ジドウ	自動
フンバル	踏ん張る
ウゴキ	動き
ドウイン	動員
ドウリョク	動力
ワフク	和服
カクスル	画する
シンニュウ	侵入
ゼンイン	全員
ゼンブ	全部
ゼンリョク	全力
ゼンコク	全国
ガイライゴ	外来語
モクゼン	目前
ダイヒョウ	代表
ハッピョウ	発表
イキキ	行き来
テガカリ	手掛かり
ツクリアゲル	作り上げる
センジョウ	戦場
センゼン	戦前
タイセン	大戦
タタカイ	戦い
センゴ	戦後
オキ	沖
フジュン	不順
ビンジョウ	便乗
カヨウ	通う
ドオリ	通り
ツウガク	通学
ツウコウ	通行
ミトオシ	見通し
ホカ	外
ハズレ	外れ
ガイコク	外国
ガイコクジン	外国人
ガイシュツ	外出
ガイショウ	外相
ガイブ	外部
コクガイ	国外
チョウコウ	聴講
ニゲル	逃げる
トウソウ	逃走
コンケツ	混血
モットモ	最も
サイゴ	最後
サイコウ	最高
サイダイ	最大
ネンショウ	燃焼
イイカタ	言い方
イワバ	言わば
ゲンドウ	言動
ハツゲン	発言
ヒトコト	一言
キュウヘン	急変
ダンゼツ	断絶
チョウセツ	調節
ゲンキン	現金
ゲンジツ	現実
ゲンバ	現場
ゲンダイ	現代
ゲンチ	現地
ジツゲン	実現
ヒョウゲン	表現
スイバク	水爆
ケイリ	経理
ゲンテン	減点
ダイリ	代理
チリ	地理
リジ	理事
オル	居る
シラベ	調べ
チョウシ	調子
チョウリ	調理
イッタイ	一体
ゴゲン	語源
ジンタイ	人体
ゼンタイ	全体
カラダ	体
タイチョウ	体調
タイリョク	体力
ホンタイ	本体
リッタイ	立体
カガク	化学
ゴウリカ	合理化
マックラ	真っ暗
ハチョウ	波長
メイアン	明暗
ナル	成る
ソウトウ	相当
タオス	倒す
アタリ	当たり
アタリマエ	当たり前
アテル	当てる
トウジシャ	当事者
トウジ	当時
トウニン	当人
トウセン	当選
トウジツ	当日
トウブン	当分
ホントウ	本当
ユウエンチ	遊園地
テアテ	手当
キゴ	季語
ムクイル	報いる
ハチ	八
ワル	割る
ツグ	継ぐ
コンワク	困惑
ロク	六
ウタ	歌
シヨウニン	使用人
セイガン	請願
キコエル	聞こえる
ジシュ	自主
オモニ	主に
シュタイ	主体
チュウショウ	中傷
ミンシュ	民主
アブラエ	油絵
シュジン	主人
ギダイ	議題
シュダイ	主題
モンダイ	問題
ヒッコス	引っ越す
サゲル	下げる
クダリ	下り
キドル	気取る
ハラッパ	原っぱ
ショクン	諸君
ジョウゲ	上下
ノリコエル	乗り越える
チカ	地下
シメル	締める
ブカ	部下
ミツケル	見つける
シュショウ	首相
モエル	燃える
ネンピ	燃費
クビ	首
イガイ	意外
イケン	意見
ケツイ	決意
ゴウイ	合意
ダイナシ	台無し
ドウイ	同意
シナギレ	品切れ
ホジュウ	補充
ムジ	無地
ヤワラグ	和らぐ
ヤワラゲル	和らげる
ケンジツ	堅実
コケイ	固形
ゴウホウ	合法
ホウホウ	方法
ホウガク	法学
ホウジン	法人
ミンポウ	民法
リッポウ	立法
シュウチャク	執着
フジュウブン	不十分
フトウ	不当
フホウ	不法
フメイ	不明
オクリモノ	贈り物
デキゴト	出来事
ホンライ	本来
ホシイ	欲しい
ライ	来
ライゲツ	来月
ライニチ	来日
ライネン	来年
オキモノ	置物
マジワル	交わる
ツナ	綱
サク	作
サギョウ	作業
サクシャ	作者
サクセン	作戦
タベル	食べる
ショクパン	食パン
ホッサ	発作
ヘイホウ	平方
シホンカ	資本家
カイリュウ	海流
ゴウリテキ	合理的
ジシュテキ	自主的
シンカン	新刊
ホウテキ	法的
モクテキ	目的
シュヨウ	主要
フセグ	防ぐ
ヨウスル	要する
フヨウ	不要
サヨウ	作用
ジツヨウ	実用
ダイヨウ	代用
ヨウイ	用意
セイサク	制作
セイテイ	制定
セイヤク	制約
タイセイ	体制
ハッシャ	発車
ブンボウグ	文房具
キキャク	棄却
ジチ	自治
セイジ	政治
クチカズ	口数
メイジ	明治
コウド	高度
コンド	今度
ノボル	上る
セイド	制度
タンテキ	端的
ネンド	年度
ハンパ	半端
ガイム	外務
ツトメル	務める
ジム	事務
ジムイン	事務員
ホウム	法務
メンスル	面する
ハカル	測る
ツヨサ	強さ
ツヨメル	強める
キョウカ	強化
キョウセイ	強制
キョウリョク	強力
グンシュウ	群衆
キブン	気分
ツヨキ	強気
ニンキ	人気
セツダン	切断
タイキ	大気
ハラウ	払う
ホンキ	本気
ヨウショク	洋食
ショウガクセイ	小学生
ドウセイ	動静
シチ	七
ジュウフク	重複
チョウフク	重複
ミツニュウコク	密入国
アワス	合わす
セイジン	成人
セイチョウ	成長
セイブン	成分
セイリツ	成立
アタル	当たる
キカン	期間
キジツ	期日
コウキ	後期
ジキ	時期
ゼンキ	前期
チョウキ	長期
テイキ	定期
ドウキ	同期
ヤツアタリ	八つ当たり
コウカイ	公開
コウヒョウ	公表
コウムイン	公務員
コウメイ	公明
コウヤク	公約
コウリツ	公立
タバ	束
タル	足る
テッスル	徹する
カネモチ	金持ち
ミチガエル	見違える
モツ	持つ
シンサツ	診察
オオサワギ	大騒ぎ
キモチ	気持ち
モチ	持ち
ブンヤ	分野
ヤガイ	野外
ヤトウ	野党
キョウギ	協議
キョウリョク	協力
ザイバツ	財閥
トル	取る
トッテ	取っ手
トリシラベ	取り調べ
ミドコロ	見どころ
シュト	首都
ミヤコ	都
トカイ	都会
ツゴウ	都合
トシ	都市
トナイ	都内
トリツ	都立
セイタン	生誕
チョウワ	調和
トウイツ	統一
トウゴウ	統合
トウチ	統治
トウセイ	統制
イカ	以下
イゴ	以後
イゼン	以前
イナイ	以内
イライ	以来
コウゴ	口語
ハヘン	破片
ウワキ	浮気
カタテ	片手
キカイ	機会
キカン	機関
キタイ	機体
キチョウ	機長
ドウキ	動機
マドワス	惑わす
ケイイ	敬意
コウヘイ	公平
ヘイジツ	平日
ヘイネン	平年
ヘイヤ	平野
ヘイワ	平和
ワヘイ	和平
ヘイセイ	平成
カラッポ	空っぽ
フタゴ	双子
ソウカイ	総会
ソウリ	総理
ドウヨウ	動揺
ソウゴウ	総合
カニュウ	加入
ツトメサキ	勤め先
コウコウ	孝行
ナカユビ	中指
ヤマ	山
オモワズ	思わず
カリ	借り
ダッスイ	脱水
ダツラク	脱落
トウタツ	到達
オモイ	思い
オモイデ	思い出
オモウ	思う
ダッソウ	脱走
カジ	家事
ヤヌシ	家主
カナイ	家内
ハタス	果たす
コッカ	国家
サッカ	作家
ジッカ	実家
セイジカ	政治家
アタエル	与える
タビダツ	旅立つ
イッカ	一家
カイワ	会話
シンシツ	寝室
タイワ	対話
ツウワ	通話
ワダイ	話題
ハナシ	話
ハナシアイ	話し合い
ショキュウ	初級
ヨノナカ	世の中
セケン	世間
セダイ	世代
セワ	世話
チュウセイ	中世
ドアイ	度合
ウケイレル	受け入れる
ソウベツ	送別
クカン	区間
ハンシャ	反射
ヨウケン	用件
キマエ	気前
ダイトウリョウ	大統領
ミレン	未練
アタタカイ	温かい
カクス	隠す
カヨウ	火曜
カヨウビ	火曜日
ケンリツ	県立
ドクガク	独学
ジゾク	持続
ソウゾク	相続
ナイゾウ	内臓
レンゾク	連続
ゾクゾク	続々
テツヅキ	手続き
ツヅキ	続き
エンジル	演じる
シンガク	進学
シンコウ	進行
シンシュツ	進出
ゼンシン	前進
コウセイ	公正
シュウデン	終電
セイ	正
ショウガツ	正月
セイトウ	正当
タイショウ	大正
フセイ	不正
ナガビク	長引く
アンゼン	安全
アンテイ	安定
エンヤス	円安
ガンショ	願書
ケンブン	見聞
チアン	治安
フアン	不安
フアンテイ	不安定
メヤス	目安
カイセツ	開設
カンスル	関する
コウバイ	購買
スギ	杉
セッテイ	設定
セツリツ	設立
シヒ	私費
ハッキ	発揮
ホアン	保安
トコロドコロ	所々
カイセイ	改正
ゲンショ	原書
トリダス	取り出す
ナヅケル	名付ける
トリキメ	取決め
カイスウ	回数
スウガク	数学
ソウスウ	総数
タスウ	多数
ニンズウ	人数
カズ	数
ニッスウ	日数
ヒキオコス	引き起こす
シルス	記す
キジ	記事
キシャ	記者
ニッキ	日記
ダイガクイン	大学院
ニュウイン	入院
ウキ	雨期
オンナ	女
オンナノコ	女の子
ジョシ	女子
ジョセイ	女性
チョウジョ	長女
トウナン	盗難
ニッシ	日誌
メダツ	目立つ
サイショ	最初
シバフ	芝生
ハツ	初
ショキ	初期
ショニチ	初日
ダケツ	妥結
コロガス	転がす
コロガル	転がる
トウショ	当初
キタ	北
ホクブ	北部
ホクトウ	北東
クイサガル	食い下がる
ゴゴ	午後
ゴゼン	午前
ショウゴ	正午
タイショウ	対照
ユビ	指
シテイ	指定
テンケイテキ	典型的
オモテドオリ	表通り
イザカヤ	居酒屋
ケンリョク	権力
シカ	歯科
シュケン	主権
ジンケン	人権
セイケン	政権
ネンガジョウ	年賀状
アツカウ	扱う
アンシン	安心
カンシン	関心
シンリ	心理
チヘイセン	地平線
チュウシン	中心
トシン	都心
ナイコウ	内向
ギョウカイ	業界
ヨワキ	弱気
セカイ	世界
セイカイ	政界
キュウビョウ	急病
シジ	支持
シシャ	支社
シシュツ	支出
ヤム	病む
ナサケ	情け
ドアイ	度合い
ツトメ	務め
コクサン	国産
サンギョウ	産業
サンチ	産地
シュッサン	出産
セイサン	生産
フドウサン	不動産
ムスブ	結ぶ
ケッセイ	結成
ウラグチ	裏口
チュウジツ	忠実
マメ	忠実
ヒャク	百
マエバライ	前払い
ハデ	派手
リッパ	立派
チテン	地点
テン	点
テンスウ	点数
エンリョ	遠慮
キョウイン	教員
キョウカイ	教会
デアウ	出合う
ザッソウ	雑草
ココロミル	試みる
モトモト	元々
ケイザイ	経済
モノタリナイ	物足りない
ケイザイテキ	経済的
チガウ	違う
ショキ	書記
サワグ	騒ぐ
ダイブツ	大仏
ケス	消す
セイフ	政府
チメイテキ	致命的
ヨクチョウ	翌朝
ヨクアサ	翌朝
カツドウ	活動
カッパツ	活発
カツヨウ	活用
カツリョク	活力
セイカツ	生活
ゲンサク	原作
ゲンシリョク	原子力
ゲンテン	原点
ゲンリ	原理
ハレ	晴れ
サキニ	先に
センゲツ	先月
センシンコク	先進国
センセイ	先生
センジツ	先日
フクヨウ	服用
キョウツウ	共通
コウキョウ	公共
ジュウコウギョウ	重工業
キョウドウ	共同
シュトク	取得
ココロエル	心得る
トクイ	得意
カイケツ	解決
カイタイ	解体
ケンカイ	見解
リカイ	理解
ワカイ	和解
オマエ	お前
シメイ	氏名
ハイレツ	配列
ホンミョウ	本名
メイサク	名作
メイジン	名人
ナマエ	名前
メイモク	名目
ヨリカカル	寄り掛かる
ガイコウ	外交
コウツウ	交通
コッコウ	国交
セイボ	歳暮
コウタイ	交代
シキン	資金
シサン	資産
シホン	資本
ジガ	自我
ヨセン	予選
ヨテイ	予定
ヨホウ	予報
ヨヤク	予約
エンバン	円盤
オガワ	小川
カワ	川
フウシ	風刺
ムキ	向き
コウジョウ	向上
マエムキ	前向き
ドウコウ	動向
ヒッシャ	筆者
ホウコウ	方向
イコウ	意向
コクサイ	国際
コクサイカ	国際化
コクサイテキ	国際的
サイ	際
キワダツ	際立つ
ジッサイ	実際
ネル	寝る
チョウサ	調査
ケッショウ	決勝
アラワス	現す
マサル	勝る
カチ	勝ち
イチメン	一面
ウケトリ	受取り
ウケトリ	受取
ウケトリ	受け取
バメン	場面
ゼンメンテキ	全面的
テンキョ	転居
ニュウヨク	入浴
ヒョウメン	表面
ホウメン	方面
メンカイ	面会
ツラ	面
オモテ	面
メン	面
イイン	委員
イインカイ	委員会
ゲンコク	原告
ヒロメル	広める
ツゲル	告げる
フジョウリ	不条理
ホオン	保温
ホウコク	報告
アタタマル	温まる
キハン	規範
カメン	仮面
グン	軍
グンジ	軍事
グンジン	軍人
タカラクジ	宝くじ
ホウセキ	宝石
サクブン	作文
ブンカ	文化
ブンガク	文学
ブンメイ	文明
ブンショ	文書
ホンブン	本文
ホンモン	本文
ドウトク	道徳
ハンセン	反戦
ハンタイ	反対
ハンパツ	反発
ナリユキ	成行き
モト	元
ゲンキ	元気
ゲンシュ	元首
ガンジツ	元日
テモト	手元
ジモト	地元
ヒニク	皮肉
オモサ	重さ
カサネル	重ねる
ジュウシン	重心
ジュウダイ	重大
ジュウテン	重点
ジュウヨウ	重要
タイジュウ	体重
チョウホウケイ	長方形
ニジュウ	二重
フタエ	二重
ハクチョウ	白鳥
オモミ	重み
ワレメ	割れ目
マヂカ	間近
リョウシ	漁師
チカイ	近い
キンダイ	近代
サイキン	最近
セイザ	星座
マルイ	円い
セン	千
キョウリ	郷里
カンガエ	考え
カンガエル	考える
シコウ	思考
ハンケツ	判決
ハンジ	判事
ハンテイ	判定
コウニン	公認
カク	画
ガカ	画家
ガメン	画面
キリツ	起立
ムジョウ	無情
カッキテキ	画期的
ゲヒン	下品
ウミ	海
カイガイ	海外
カイグン	海軍
カイジョウ	海上
コサメ	小雨
フトクイ	不得意
イイワケ	言い訳
サンカ	参加
サンギイン	参議院
サンコウ	参考
ハキ	破棄
ウル	売る
ハツバイ	発売
ウリバ	売り場
キンリ	金利
ケンリ	権利
ショウリ	勝利
フリ	不利
リシ	利子
リヨウ	利用
タタカウ	戦う
マゴコロ	真心
クミアイ	組合
ヒトトオリ	一通り
クマ	熊
シル	知る
チジ	知事
チジン	知人
チテキ	知的
ツウチ	通知
ヨチ	予知
シリアイ	知り合い
アンナイ	案内
レンソウ	連想
カワラ	川原
コクドウ	国道
ショドウ	書道
ジンドウテキ	人道的
チュウドウ	中道
ミチ	道
ホウドウ	報道
ジシン	自信
ジュシン	受信
シンヨウ	信用
ツウシン	通信
ハッシン	発信
フシン	不信
シン	信
セイサク	政策
タイサク	対策
トクギ	特技
スゴス	過ごす
アツマル	集まる
アツメル	集める
シュウカイ	集会
シュウゴウ	集合
シュウチュウ	集中
テノヒラ	手のひら
アツマリ	集まり
ゲンザイ	現在
ザイガク	在学
ザイニチ	在日
ジュウショウ	重症
フザイ	不在
ジケン	事件
コウダン	公団
シュウダン	集団
ワラウ	笑う
ダンケツ	団結
ダンタイ	団体
ダンチ	団地
キシツ	気質
カタギ	気質
クベツ	区別
セイベツ	性別
ベツニ	別に
ワカレ	別れ
ベツモンダイ	別問題
ベツベツ	別々
グン	郡
ジナン	次男
ジンブツ	人物
ドウブツ	動物
ネンイリ	念入り
ウリモノ	売り物
ブッシ	物資
ブツリ	物理
ホンモノ	本物
ソクメン	側面
ウチガワ	内側
モトヅク	基づく
シュニン	主任
ニンイ	任意
ニンキ	任期
ニンム	任務
ゴウイン	強引
センザイ	洗剤
トリヒキ	取引
ヒキガネ	引き金
ヒキツヅキ	引き続き
コウシ	行使
ツカイ	使い
ツカウ	使う
シヨウ	使用
タイシ	大使
ナコウド	仲人
ツマル	詰まる
キュウジン	求人
イタス	致す
ヨウキュウ	要求
ウチケス	打ち消す
ニセ	偽
キンジョ	近所
ジムショ	事務所
モチナオス	持ち直す
ショトク	所得
バショ	場所
クダス	下す
ジカイ	次回
ジゲン	次元
シダイニ	次第に
カイスイ	海水
ミズ	水
スイデン	水田
スイドウ	水道
スイメン	水面
ミトメル	認める
スイサン	水産
コウハン	後半
タイハン	大半
ハン	半
ナカバ	半ば
ハンスウ	半数
ハンブン	半分
ハンメン	半面
タナバタ	七夕
ゼンハン	前半
ハントシ	半年
ハンネン	半年
タトエ	例え
タトエル	例える
サクヒン	作品
オカス	侵す
ニチヨウヒン	日用品
ブヒン	部品
オマイリ	お参り
サクネン	昨年
マイル	参る
カタホウ	片方
ギロン	議論
ケツロン	結論
ゲンロン	言論
コウフ	公布
ハンロン	反論
フタシカ	不確か
リロン	理論
ロンブン	論文
ロンリ	論理
セロン	世論
ヨロン	世論
カケイ	家計
カイケイ	会計
ケイ	計
ケイカク	計画
ゴウケイ	合計
トケイ	時計
シャセイ	写生
セッケイ	設計
トウケイ	統計
バクロ	暴露
ウツル	映る
シシャ	死者
シタイ	死体
リョウガエ	両替
ナイショク	内職
メンゼイ	免税
ミズシラズ	見ず知らず
サイマツ	歳末
ゾウカ	増加
ゾウダイ	増大
ノガレル	逃れる
メイアン	名案
スエッコ	末っ子
ヒマシニ	日増しに
オマモリ	お守り
マワリミチ	回り道
カンケイ	関係
キュウソク	休息
ドマ	土間
カカリ	係
ハテシナイ	果てしない
カンジ	感じ
カンジル	感じる
カンシン	感心
カンドウ	感動
キョウカン	共感
ジッカン	実感
タチアガル	立ち上がる
リンジン	隣人
ガイスル	害する
トクニ	特に
トクシュウ	特集
トクテイ	特定
トクベツ	特別
カンジョウ	感情
ジジョウ	事情
ジョウ	情
ジョウホウ	情報
ドウジョウ	同情
ヒョウジョウ	表情
ジツジョウ	実情
トウシ	投資
トウショ	投書
ドウハン	同伴
シジ	指示
シメス	示す
ビヨウイン	美容院
リキム	力む
アイカワラズ	相変わらず
タイヘン	大変
カワル	変わる
ヘンカ	変化
ヘンドウ	変動
ヒロガル	広がる
オトコ	男
オトコノコ	男の子
ダンシ	男子
ダンジョ	男女
ダンセイ	男性
チョウナン	長男
モドス	戻す
キチ	基地
キホン	基本
オシエル	教える
ハレツ	破裂
シリツ	私立
ヒキワケ	引分け
スム	済む
コトリ	小鳥
カザリ	飾り
カザル	飾る
ソウショク	装飾
ムケイ	無形
ヒキダシ	引出し
シタガキ	下書き
カイシ	開始
マルミ	円み
ハジマリ	始まり
ミノウエ	身の上
カシ	貸し
シマ	島
ハントウ	半島
ショウジキ	正直
タダチニ	直ちに
チョクゴ	直後
チョクゼン	直前
ツイヤス	費やす
トリハズス	取り外す
リョウシャ	両者
リョウテ	両手
リョウホウ	両方
リョウメン	両面
キヅク	気付く
コウツゴウ	好都合
アサ	朝
アサヒ	朝日
カイカク	改革
カクシン	革新
カワ	革
ムシン	無心
ウテン	雨天
チカ	地価
テイカ	定価
ノウコウ	濃厚
ノウシュク	濃縮
ブッカ	物価
ベイカ	米価
マンビキ	万引き
カクイ	各位
コウシキ	公式
セイシキ	正式
ゾウヨ	贈与
タシカメル	確かめる
カクジツ	確実
カクテイ	確定
カクニン	確認
カクホ	確保
カクリツ	確立
ハジメ	初め
メイカク	明確
コウリ	小売り
タシカ	確か
クイトメル	食い止める
ムラ	村
タツ	経つ
ショウカイ	照会
ゼンテイ	前提
テイアン	提案
テイシュツ	提出
コヅツミ	小包
ウン	運
ハコブ	運ぶ
ウンドウ	運動
ウンヨウ	運用
テイタク	邸宅
ニリュウ	二流
サイシュウ	最終
オエル	終える
シュウシ	終始
シュウセン	終戦
オワリ	終わり
センキョ	選挙
サイチュウ	最中
クダモノ	果物
カイコ	回顧
ケッカ	結果
セイカ	成果
ハタシテ	果たして
ケンメイ	賢明
ニシ	西
セイブ	西部
トウザイ	東西
ホクセイ	北西
イタン	異端
エキタイ	液体
スギル	過ぎる
アラワレル	現れる
アラワレル	現われる
ジョウセイ	情勢
イキオイ	勢い
セイリョク	勢力
ドウジョウ	同上
ミョウジ	名字
カゲン	加減
ガイメン	外面
ヘラス	減らす
ヘル	減る
ウケモチ	受け持ち
ダイ	台
ダイドコロ	台所
シラベル	調べる
リョウシュウ	領収
ヒロイ	広い
ヒロサ	広さ
ヒロマル	広まる
コウコク	広告
ヒロバ	広場
コウダイ	広大
ワライゴエ	笑い声
ウデドケイ	腕時計
ヒロゲル	広げる
シイレル	仕入れる
ナイヨウ	内容
イルイ	衣類
セイショ	聖書
カナラズ	必ず
カナラズシモ	必ずしも
ヒツヨウ	必要
ヒッシ	必死
イチオウ	一応
オウジル	応じる
オウヨウ	応用
ゴジュウオン	五十音
タイオウ	対応
チャイロ	茶色
ハンノウ	反応
テイオン	低音
エンシュツ	演出
コウエン	公演
シュエン	主演
シュツエン	出演
ジョウエン	上演
クサバナ	草花
ソクザ	即座
アジワウ	味わう
サン	酸
オモンジル	重んじる
デンキ	電気
デンシ	電子
デンリョク	電力
デンワ	電話
ハツデン	発電
ハツデンショ	発電所
マチガエル	間違える
ナカヨシ	仲良し
イキチガイ	行き違い
マチガウ	間違う
ジュウショ	住所
ジュウミン	住民
バチ	罰
イッコウ	一行
イチギョウ	一行
エンセン	沿線
ミワタス	見渡す
センソウ	戦争
アラソイ	争い
タチナオル	立ち直る
ロンソウ	論争
ミドコロ	見所
カイダン	会談
ミオロス	見下ろす
ショウドウ	衝動
ソウダン	相談
ダンワ	談話
ナカツギ	中次ぎ
ムシンケイ	無神経
キノウ	機能
ニカヨウ	似通う
セイノウ	性能
ノウ	能
ノウリョク	能力
ケイカイ	軽快
フカイ	不快
ブジ	無事
ムジン	無人
ムリ	無理
ムリョク	無力
ユウヒ	夕日
フタタビ	再び
サイカイ	再開
サイサン	再三
サイセイ	再生
ナワバリ	縄張り
オンナラシイ	女らしい
センゾ	先祖
チイ	地位
ブンゴ	文語
デキアガル	出来上がる
セッチ	設置
イチ	位置
キカク	企画
キギョウ	企業
ヘイコウ	平行
ユウグレ	夕暮れ
キキョウ	帰京
トリクム	取り組む
シンイ	真意
シンジツ	真実
シンソウ	真相
シンリ	真理
ケガワ	毛皮
モウフ	毛布
マンナカ	真ん中
ユルガス	揺るがす
イチリュウ	一流
コウリュウ	交流
テサグリ	手探り
ハリガネ	針金
シリアウ	知合う
ナガス	流す
ナガレ	流れ
リュウツウ	流通
ミドリイロ	緑色
カカク	価格
コウシ	格子
ゴウカク	合格
シカク	資格
ジンカク	人格
セイカク	性格
ホンカクテキ	本格的
アズケル	預ける
ショユウ	所有
ココロヅヨイ	心強い
トクユウ	特有
ユウケンシャ	有権者
ウム	有無
ユウメイ	有名
ユウリョク	有力
ヒヤケ	日焼け
ユウリ	有利
ウタガイ	疑い
ギモン	疑問
シンジル	信じる
ヨウギシャ	容疑者
クチ	口
デグチ	出口
ジンコウ	人口
ナヤム	悩む
イリグチ	入り口
スギ	過ぎ
カハンスウ	過半数
ケイカ	経過
ショウスル	称する
セイシ	制止
ツウカ	通過
カエス	返す
キョク	局
ケッキョク	結局
シキョク	支局
セイキョク	政局
トウキョク	当局
セボネ	背骨
ヨクシツ	浴室
ヤキニク	焼き肉
ゲンショウ	減少
スコシ	少し
ショウスウ	少数
ショウネン	少年
タショウ	多少
ショウジョ	少女
スクナクトモ	少なくとも
イクジ	意気地
カイホウ	解放
カイホウ	開放
キニイル	気に入る
ホウル	放る
モハン	模範
カンゼイ	関税
コクホウ	国宝
ゼイキン	税金
ゾウゼイ	増税
ホウテイシキ	方程式
ケンサ	検査
ケンジ	検事
ケンテイ	検定
コトガラ	事柄
ショウスウテン	小数点
テンケン	点検
ヒトリゴト	独り言
マンゲツ	満月
キイロ	黄色
ミチル	満ちる
フクム	含む
オドロカス	驚かす
ホノオ	炎
シタマチ	下町
アカス	明かす
メイロ	迷路
マチ	町
インリョク	引力
ツネニ	常に
セイジョウ	正常
ネウチ	値打ち
ツウジョウ	通常
ニチジョウ	日常
フウ	封
ヒキアゲル	引上げる
ヒキウケル	引き受ける
ヒキサゲル	引下げる
ガッコウ	学校
コウチョウ	校長
コウコウ	高校
コウコウセイ	高校生
ショウガッコウ	小学校
チュウガッコウ	中学校
ゲンリョウ	原料
シリョウ	資料
ムリョウ	無料
ユウリョウ	有料
リョウキン	料金
リョウリ	料理
スナハマ	砂浜
サイバン	裁判
サイバンショ	裁判所
トリアゲル	取り上げる
セイサイ	制裁
ソウサイ	総裁
エンブン	塩分
ゲンジョウ	現状
オオミズ	大水
ミズイラズ	水入らず
カコウ	加工
オキル	起きる
コウガク	工学
コウギョウ	工業
コウサク	工作
コウジ	工事
ジンコウ	人工
ダイク	大工
ナゴム	和む
ケンセツ	建設
タテモノ	建物
サイケン	再建
ブキヨウ	不器用
フウサ	封鎖
タテマエ	建前
ガイコクゴ	外国語
ゲンゴ	言語
カタル	語る
ゴガク	語学
コウカ	硬貨
コクゴ	国語
シュカン	主観
フチャク	付着
モノガタリ	物語
モノガタル	物語る
トジル	閉じる
ヨウゴ	用語
キゾウ	寄贈
キュウ	球
ゲッコウ	月光
チキュウ	地球
ヤキュウ	野球
ユイショ	由緒
メイゲツ	名月
ウンエイ	運営
イトナム	営む
エイギョウ	営業
カンショク	間食
ケイエイ	経営
コクエイ	国営
