クヤクショ	区役所
ジツブツ	実物
フヒツヨウ	不必要
カマウ	構う
カエル	代える
アケガタ	明け方
ヒキズル	引きずる
インヨウ	引用
コウテイ	公定
ワリアテ	割り当て
ナガモチ	長持ち
ホイクショ	保育所
ウケミ	受け身
ミノマワリ	身の回り
ヘンシン	変身
キマリ	決まり
ゲスイ	下水
ムカンケイ	無関係
ムカンシン	無関心
ハンニチ	半日
シタギ	下着
センチャク	先着
テイチャク	定着
ハッチャク	発着
ヒッチャク	必着
ノセル	乗せる
シュショク	主食
セイケイ	生計
シンカ	真価
セイシ	生死
クワワル	加わる
デンリュウ	電流
ナンカン	難関
ハズレル	外れる
タイカク	体格
フゴウカク	不合格
キョウユウ	共有
チョクセン	直線
ヒナタ	日向
テギワ	手際
ドウカン	同感
ハンカン	反感
ヒトクチ	一口
ビョウジョウ	病状
ヤサシイ	優しい
ハナス	話す
スクナイ	少ない
ショウショウ	少々
スクナカラズ	少なからず
ホウダイ	放題
ブンタイ	文体
ゾクシュツ	続出
ジョウヨウ	常用
ヘイジョウ	平常
ゲンシ	原始
ハジメル	始める
シハツ	始発
ハジメ	始め
ケイダイ	境内
サガル	下がる
サイケツ	裁決
ジョゲン	助言
フシゼン	不自然
アキチ	空き地
ドウセイ	同性
ダイゼンテイ	大前提
リョウクウ	領空
カギリ	限り
ジゲン	時限
コユビ	小指
テキチュウ	的中
シタシム	親しむ
ショシン	初心
ホンシン	本心
カガイシャ	加害者
スイガイ	水害
クバル	配る
キクバリ	気配り
ゾウゲン	増減
シリョク	視力
ムシ	無視
ショウダン	商談
チイサイ	小さい
ベツメイ	別名
ヤクバ	役場
テツダイ	手伝い
ソウオウ	相応
ホウジル	報じる
ヒキトル	引き取る
ソダチ	育ち
ツカイミチ	使い道
カキカタ	書き方
シュウラク	集落
ラクゴ	落語
カハンシン	下半身
コウツウヒ	交通費
ラク	楽
キラク	気楽
コノマシイ	好ましい
コウカン	好感
スイリョク	水力
ホンノウ	本能
オコス	起こす
キョウヨウ	共用
タイイン	退院
テイキ	提起
ムジツ	無実
ホッキニン	発起人
ユライ	由来
ミズギ	水着
キル	着る
コクソ	告訴
ジンメイ	人名
ナダカイ	名高い
ジキ	時機
カイテン	開店
センシ	戦死
エイブン	英文
クワエル	加える
チュウリュウ	中流
ナンカイ	難解
ナンテン	難点
ブナン	無難
ソウテイ	想定
ウシロムキ	後ろ向き
イエデ	家出
コウロン	口論
アカイ	赤い
デイリグチ	出入り口
トウジル	投じる
