ドレ	何れ
フユ	冬
ハイザラ	灰皿
ヒル	昼
オチャ	お茶
マン	万
ツク	着く
ユキ	雪
マンネンヒツ	万年筆
アビル	浴びる
ツカレル	疲れる
シオ	塩
オトウト	弟
ハガキ	葉書
ハタラク	働く
スキ	好き
ミドリ	緑
イル	要る
マド	窓
ギュウニク	牛肉
キライ	嫌い
イヤ	嫌
コマル	困る
アニ	兄
キョウダイ	兄弟
オヨグ	泳ぐ
カギ	鍵
ニモツ	荷物
ジビキ	字引
ソウジ	掃除
タテ	縦
ミナサン	皆さん
ギュウニュウ	牛乳
サライシュウ	再来週
コンバン	今晩
アルク	歩く
イヌ	犬
ヤサイ	野菜
ミミ	耳
ツトメル	勤める
タマゴ	卵
キッサテン	喫茶店
ナラベル	並べる
カカル	掛かる
カビン	花瓶
ハコ	箱
ダイジョウブ	大丈夫
アソコ	彼処
フロ	風呂
ハシ	箸
ゲンカン	玄関
キイロイ	黄色い
アツイ	暑い
ホンダナ	本棚
バン	晩
イモウト	妹
サトウ	砂糖
アネ	姉
カンジ	漢字
アタタカイ	暖かい
イス	椅子
クツ	靴
アサゴハン	朝御飯
ロウカ	廊下
カゼ	風邪
ハナ	鼻
オマワリサン	お巡りさん
ゴハン	ご飯
カワ	河
ツクエ	机
セマイ	狭い
キンヨウビ	金曜日
ゲツヨウビ	月曜日
スイヨウビ	水曜日
ドヨウビ	土曜日
ニチヨウビ	日曜日
モクヨウビ	木曜日
センタク	洗濯
ネコ	猫
コタエル	答える
シカシ	併し
ボウシ	帽子
オクサン	奥さん
タンジョウビ	誕生日
キップ	切符
サムイ	寒い
オバ	伯母
ワスレル	忘れる
フク	吹く
イクツ	幾つ
デキル	出来る
オテアライ	お手洗い
オニイサン	お兄さん
オジイサン	お祖父さん
オバアサン	お祖母さん
マタ	又
オオキナ	大きな
ナク	鳴く
オナカ	お腹
クモル	曇る
スズシイ	涼しい
オネエサン	お姉さん
サク	咲く
ミガク	磨く
ハク	履く
ダレカ	誰か
オカシ	お菓子
ハル	貼る
イツ	何時
ソレ	其れ
イクラ	幾ら
タバコ	煙草
クライ	暗い
コレ	此れ
タクサン	沢山
ドコ	何処
ソシテ	然して
ソレカラ	其れから
ヤル	遣る
ヌルイ	温い
イツモ	何時も
アナタ	貴方
ココ	此処
ソレデハ	其れでは
チョウド	丁度
ドウシテ	如何して
ウルサイ	煩い
オイシイ	美味しい
マズイ	不味い
マダ	未だ
コノ	此の
ツケル	点ける
ソウシテ	然うして
キレイ	綺麗
ショウユ	しょう油
ヨク	良く
ウタ	歌(う)
ハナ	話(す)
ワタ	渡(す)
ノボ	登(る)
ハイ	入(る)
ツク	作(る)
ハジ	始(まる)
チガ	違(う)
ツカ	使(う)
オシ	教(える)
カエ	返(す)
スワ	座(る)
ナラ	並(ぶ)
オボ	覚(える)
アラ	洗(う)
カエ	帰(る)
ワタ	渡(る)
ハシ	走(る)
ヤス	休(む)
タノ	頼(む)
アソ	遊(ぶ)
デカ	出掛(ける)
ナラ	習(う)
ツカ	疲(れる)
ハタラ	働(く)
コマ	困(る)
オヨ	泳(ぐ)
アル	歩(く)
ツト	勤(める)
ナラ	並(べる)
コタ	答(える)
ワス	忘(れる)
デキ	出来(る)
クモ	曇(る)
ミガ	磨(く)
